lesionTipo,fecha,lesionRango,granja,edadEnDias,ciclo,noGalpon,planVacuna,influenzaVacuna,newcastleVacuna,gumboroVacuna,lesionPromedio,nAnimal,sexoAnimales,bursometro,condicionHigado,integridadIntestinal
PiernasPalidas,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
Rasguños,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
LesionCojinetePlantar,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
LesionCavidadOral,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
RetencionSacoVitelino,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,1,1,M,3,-,10
AtrofiaTimo,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
DañoBolsa,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
NecrosisCabezaFemur,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
DiscondroplasiaTibial,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
Traqueitis,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
Aerosaculitis,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
Cardiovascular,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
ErosionMolleja,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
ComedorCama,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
Proventriculitis,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
IntestinosEngrosados,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
IntestinosAdelgazados,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
E.acervulina,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
E.maxima,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
E.tenella,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
ExcesoMocoIntestinal,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
ExcesoFluidoIntestinal,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
DescamacionIntestinal,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
Tenias,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
EnteritisNecrotica,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
PasajeAlimento,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
GasCecal,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
HiperemiaIntestinal,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
QuemaduraAmoniaco,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
Aspergilosis,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
Ascitis,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
Ascaridios/GusanosRedondos,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
HemorragiasPetequiales,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,1,M,3,-,10
PiernasPalidas,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
Rasguños,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
LesionCojinetePlantar,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
LesionCavidadOral,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
RetencionSacoVitelino,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,1,2,H,3,-,10
AtrofiaTimo,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
DañoBolsa,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
NecrosisCabezaFemur,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
DiscondroplasiaTibial,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
Traqueitis,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
Aerosaculitis,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
Cardiovascular,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
ErosionMolleja,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
ComedorCama,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
Proventriculitis,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
IntestinosEngrosados,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
IntestinosAdelgazados,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
E.acervulina,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
E.maxima,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
E.tenella,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
ExcesoMocoIntestinal,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
ExcesoFluidoIntestinal,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
DescamacionIntestinal,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
Tenias,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
EnteritisNecrotica,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
PasajeAlimento,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
GasCecal,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
HiperemiaIntestinal,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
QuemaduraAmoniaco,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
Aspergilosis,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
Ascitis,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
Ascaridios/GusanosRedondos,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
HemorragiasPetequiales,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,2,H,3,-,10
PiernasPalidas,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
Rasguños,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
LesionCojinetePlantar,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
LesionCavidadOral,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
RetencionSacoVitelino,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,2,3,M,-1,-,10
AtrofiaTimo,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
DañoBolsa,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
NecrosisCabezaFemur,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
DiscondroplasiaTibial,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
Traqueitis,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
Aerosaculitis,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
Cardiovascular,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
ErosionMolleja,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
ComedorCama,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
Proventriculitis,30-12-2020 00:00:00,0-3,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
IntestinosEngrosados,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
IntestinosAdelgazados,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
E.acervulina,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
E.maxima,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
E.tenella,30-12-2020 00:00:00,0-4,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
ExcesoMocoIntestinal,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
ExcesoFluidoIntestinal,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
DescamacionIntestinal,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
Tenias,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
EnteritisNecrotica,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
PasajeAlimento,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
GasCecal,30-12-2020 00:00:00,0-2,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
HiperemiaIntestinal,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
QuemaduraAmoniaco,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
Aspergilosis,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
Ascitis,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
Ascaridios/GusanosRedondos,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
HemorragiasPetequiales,30-12-2020 00:00:00,0-1,Fortuna,9,35,1,P1T3,Trovac,Merial,Avipro,0,3,M,-1,-,10
